TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200800A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),79,$95601942.00
200500A,234920,Power and Communication Transmission Line Construction (1997 NAICS),12,$1530172.00
200700A,541213,Tax preparation services,724,$137865823.00
200500A,454111,Electronic shopping,177,$69021986.50
201400A,621399,Offices of all other miscellaneous health practitioners,2705,$928964246.95
200500A,711300,"Promoters of performing arts, sports, & similar events",1286,$1279961534.77
201600A,888888,Medical Marijuana Collective,522,$160663902.00
200900A,541330,Engineering services,1001,$615726293.20
201100A,325900,Other chemical products & preparation mfg.,95,$50175297.10
201400A,531390,Other activities related to real estate,1181,$330361950.56
201300A,235310,Electrical Contractors (1997 NAICS),2518,$534828419.62
201300A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",1271,$199536126.99
201600A,445100,Grocery stores (including supermarkets & convenience stores without gas),1648,$6286864343.00
201300A,311300,Sugar & confectionery product mfg.,121,$8578012.66
201100A,621610,Home health care services,2095,$208106585.37
201400A,331000,Primary metal mfg.,88,$18088271.00
201400A,424210,Drugs & druggists' sundries,229,$635968884.00
201500A,423600,Electrical & electronic goods,1247,$1713798250.00
201200A,448190,Other Clothing Stores,697,$224538139.59
201700A,424990,Other miscellaneous nondurable goods,81,$6226204.00
200900A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",913,$343365293.54
200900A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,209,$123391833.00
201000A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",66,$11907651.00
201400A,485300,Taxi & limousine service,2025,$6701453.00
201700A,423400,Professional & commercial equipment & supplies,18,$745571.00
201400A,441120,Used car dealers,883,$309053539.00
201600A,531390,Other activities related to real estate,1426,$546551055.63
200800A,541310,Architectural services,910,$580686667.00
200500A,424300,"Apparel, piece goods, & notions",2715,$2075466030.45
200800A,518111,Internet service providers,119,$86605773.32
201700A,518210,"Data processing, hosting, & related services",37,$661094.00
200600A,451220,"Prerecorded tape, compact disc, & record stores",288,$121837861.00
200900A,322000,Paper mfg.,43,$15199281.00
201200A,811120,"Automotive body, paint, interior, & glass repair",509,$122027891.00
201600A,624310,Vocational rehabilitation services,90,$25180108.00
201600A,532400,Commercial & industrial machinery & equipment rental & leasing,454,$537745739.00
201200A,446110,Pharmacies & drug stores,506,$3301541218.54
201600A,561600,Investigation & security services,1006,$523335192.52
201500A,312000,Beverage & tobacco product mfg.,55,$34906982.00
201600A,541800,Advertising & related services,2903,$2194385804.49
201600A,722410,Drinking places (alcoholic beverages),239,$67894441.00
200800A,541910,Market research & public opinion polling,163,$125178810.00
201000A,811420,Reupholstery & furniture repair,199,$15072440.00
200900A,561500,Travel arrangement & reservation services,6200,$679532387.71
201300A,331000,Primary metal mfg.,76,$18070558.00
200500A,,,275449,$53876091824.76
201000A,624100,Individual & family services,812,$61418976.00
200600A,425110,Business to business electronic markets,17,$233553.00
200700A,999999,Unclassified establishments (unable to classify),645,$46852940.30
201300A,423600,Electrical & electronic goods,1165,$1759252059.78
201300A,812112,Beauty salons,1195,$39900716.69
201200A,441300,"Automotive parts, accessories, & tire stores",846,$189058278.00
201600A,518210,"Data processing, hosting, & related services",895,$989152949.21
200700A,448130,Children's & infants' clothing stores,124,$22971794.00
